"gene_id","gene_name"
"gene-LOC119870753|LOC119870753","LOC119870753"
"gene-ESR1|ESR1","ESR1"
"gene-LOC102151483|LOC102151483","LOC102151483"
"gene-SYNE1|SYNE1","SYNE1"
"gene-MYCT1|MYCT1","MYCT1"
"gene-VIP|VIP","VIP"
"gene-LOC100683830|LOC100683830","LOC100683830"
"gene-LOC111090675|LOC111090675","LOC111090675"
"gene-FBXO5|FBXO5","FBXO5"
"gene-MTRF1L|MTRF1L","MTRF1L"
"gene-RGS17|RGS17","RGS17"
"gene-LOC111097878|LOC111097878","LOC111097878"
"gene-OPRM1|OPRM1","OPRM1"
"gene-IPCEF1|IPCEF1","IPCEF1"
"gene-LOC119869848|LOC119869848","LOC119869848"
"gene-LOC119869885|LOC119869885","LOC119869885"
"gene-LOC119870755|LOC119870755","LOC119870755"
"gene-CNKSR3|CNKSR3","CNKSR3"
"gene-LOC119870660|LOC119870660","LOC119870660"
"gene-MIR8873B|MIR8873B","MIR8873B"
"gene-LOC111095813|LOC111095813","LOC111095813"
"gene-LOC102152984|LOC102152984","LOC102152984"
"gene-SCAF8|SCAF8","SCAF8"
"gene-LOC102157211|LOC102157211","LOC102157211"
"gene-LOC111095840|LOC111095840","LOC111095840"
"gene-LOC119870757|LOC119870757","LOC119870757"
"gene-LOC106559105|LOC106559105","LOC106559105"
"gene-TIAM2|TIAM2","TIAM2"
"gene-TFB1M|TFB1M","TFB1M"
